latitude,longitude
34.10656623972218,-117.71025586234958
34.103080359530296,-117.7051219535438
34.10543062321083,-117.70315735040055
34.1022438110712,-117.71302470443153
34.09982277261153,-117.70374295595192
34.10664808684357,-117.71046205919504
34.10242519089634,-117.7134354450778
34.1041894511033,-117.71038137542669
34.10131826955767,-117.71343282008516
34.10555037741429,-117.70392217995017
34.10013480764311,-117.70663286349055
34.10223605401644,-117.7111752045464
34.10079231202827,-117.7075421967682
34.101618312867075,-117.70956472832276
34.10539412969534,-117.70501440287384
34.10685550630823,-117.70842623837687
34.105195763437585,-117.70363441631866
34.104968377165356,-117.70593898538068
34.10106730090991,-117.70999458842334
34.1004446274196,-117.70702636802034
34.10123314685181,-117.71156445534311
34.10254389318955,-117.70354913874569
34.10488580970008,-117.70423700985684
34.10285961353065,-117.71064504491203
34.105589644650564,-117.70878649883024
34.10522507807478,-117.70404780445998
34.105530455138954,-117.71060534780362
34.10092053379384,-117.71156950287562
34.10087485434508,-117.71133934172168
34.10359178398225,-117.70875514999295
34.10167195333332,-117.70365776887972
34.10580194323897,-117.7128606372804
34.10406791847836,-117.71216216137547
34.10016734392232,-117.70369665098332
34.100060407226806,-117.70815306710543
34.10323245938184,-117.71208191720686
34.10509622113053,-117.71251532314729
34.103113061992666,-117.7068146375596
34.10414139892773,-117.71014124479149
34.10133480914651,-117.7143981148705
34.104776634109434,-117.71239103623608
34.10570484192396,-117.7105771950017
34.103592313962665,-117.71191136191248
34.10290309780953,-117.70638255589122
34.104491392761176,-117.71366609004174
34.10324493647029,-117.7055476923104
34.09998835987114,-117.7130736213894
34.10300568476223,-117.71300263561093
34.10275152894229,-117.71234715687685
34.104181258773394,-117.70897968753307
34.10482905138327,-117.70927108443777
34.10342598882927,-117.71275210173917
34.10497818748821,-117.70417752347389
34.10034445520701,-117.70694363323351
34.104395090926054,-117.7124592154756
34.10274012496315,-117.70712742050318
34.103437607975906,-117.71441929819858
34.09989673203727,-117.71070275575369
34.104233577293684,-117.7104755699667
34.10599271731594,-117.7119350971589
34.10177170797607,-117.71053204548804
34.105960561675325,-117.70653802129176
34.09970963046565,-117.7054904830124
34.101614175197696,-117.70499058953455
34.1048997325009,-117.70348457590656
34.1015725496765,-117.71390939798337
34.10101031906949,-117.71097731308386
34.10379251382111,-117.7033616963601
34.10431809277209,-117.7110159664039
34.10068071678774,-117.70500013946454
34.105472392829725,-117.71168362115587
34.104666934966204,-117.7091383100243
34.10653820404419,-117.70855163746565
34.1002618124545,-117.70904959649364
34.106367425774565,-117.70665396625765
34.10006000200447,-117.70923758831069
34.105291308952374,-117.71142559826416
34.1019190066453,-117.71091240786403
34.10644484963354,-117.71038297492863
34.10162702795644,-117.71167338917951
34.1058428270029,-117.70495892365251
34.10300161418898,-117.71054830669111
34.10528415414447,-117.70849765139928
34.10264803074686,-117.71481113425638
34.10150650942796,-117.7063232549152
34.10353785524943,-117.70354982850594
34.10178788694815,-117.71265563400863
34.106153236904106,-117.71420186422796
34.106637813484966,-117.7034472456315
34.105179081556,-117.70471953399313
34.10274495307926,-117.71309461693222
34.10026965692089,-117.71366079477315
34.104086204549326,-117.70830912339287
34.10060902236456,-117.70599389408186
34.105038042537196,-117.71345321770788
34.1051477355527,-117.71242474599393
34.10307470389678,-117.71408719809905
34.104577771355075,-117.70963651053793
34.1002747476206,-117.71180485122245
34.10199848396679,-117.70828759156926
